Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Lafayette, LA",466750,29180,ND,ND,ND,ND,0.065,84,7.9,17,ND
"Lafayette-West Lafayette, IN",201789,29200,ND,ND,ND,ND,0.066,ND,7.2,17,ND
"La Grande, OR",25748,29260,ND,ND,ND,ND,ND,44,IN,IN,ND
"Lake Charles, LA",199607,29340,ND,ND,5,29,0.065,104,7.6,23,23
"Lake City, FL",67531,29380,ND,ND,ND,ND,0.062,ND,ND,ND,ND
"Lake Havasu City-Kingman, AZ",200186,29420,ND,ND,ND,ND,ND,111,IN,IN,ND
"Lakeland-Winter Haven, FL",602095,29460,ND,ND,ND,ND,0.062,44,7.8,15,IN
"Lancaster, PA",519445,29540,ND,0.03,ND,ND,0.061,29,8.9,25,ND
"Lansing-East Lansing, MI",464036,29620,ND,ND,6,37,0.064,ND,8.7,23,6
"Laramie, WY",36299,29660,ND,ND,10,IN,0.067,169,3.9,10,IN
"Laredo, TX",250304,29700,IN,ND,ND,ND,ND,111,9.7,29,ND
"Las Cruces, NM",209233,29740,ND,ND,8,50,0.08,372,8.3,20,ND
"Las Vegas-Henderson-Paradise, NV",1951269,29820,2,ND,21,50,0.074,429,10.5,31,4
"Laurel, MS",84823,29860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Lawrenceburg, TN",41869,29980,ND,ND,ND,ND,ND,ND,5.4,14,ND
